Report List 											
											
Sl. NO	Dept.	Report types	Type of  Sub Report	Reports	Reports	Reports		Remarks	Report Path	ReMarks	
114	Accounts	Foreign Currency	Party Outstanding & Ageing						Report ? Accounts ? Accounts Report ?Foreign Currency ?Party Outstanding & Ageing		
115	Accounts	Foreign Currency	Cash-Bank Book						Report ? Accounts ? Accounts Report ?Foreign Currency ?Cash-Bank Book		
116	Accounts	Foreign Currency	SoftEx FORM						Report ? Accounts ? Accounts Report ?Foreign Currency ?SoftEx FORM		
117	Accounts	Foreign Currency	On-Account Statement						Report ? Accounts ? Accounts Report ?Foreign Currency ?On-Account Statement		
118	Accounts	Foreign Currency	Payment-Receipt Statement						Report ? Accounts ? Accounts Report ?Foreign Currency ?Payment-Receipt Statement		
119	Accounts	Foreign Currency	Import Bill Passing						Report ? Accounts ? Accounts Report ?Foreign Currency ?Import Bill Passing		
120	Accounts	Foreign Currency	Purchase/Sale Statement						Report ? Accounts ? Accounts Report ?Foreign Currency ?Purchase/Sale Statement		
121	Accounts	Foreign Currency	Bill By Bill Record						Report ? Accounts ? Accounts Report ?Foreign Currency ?Bill By Bill Record		
122	Accounts	Foreign Currency	Exchange Gain/Loss JV						Report ? Accounts ? Accounts Report ?Foreign Currency ?Exchange Gain/Loss JV		
123	Accounts	Foreign Currency	Party Receipt Fc History						Report ? Accounts ? Accounts Report ?Foreign Currency ?Party Receipt Fc History		
124	Accounts	Order Control	Outstanding & Ageing						Report ? Accounts?Order Control?Outstanding & Ageing		
125	Accounts	Fixed Assets (Master Based Dep.)	Fixed Asset Register 						Report ? Accounts?Fixed Assets (Master Based Dep.)?Fixed Asset Register 		
126	Accounts	Fixed Assets (Master Based Dep.)	Asset BOM FAR						Report ? Accounts?Fixed Assets (Master Based Dep.)?Asset BOM FAR		
127	Accounts	Fixed Assets (Master Based Dep.)	Profit/Loss On Sale Of Asset						Report ? Accounts?Fixed Assets (Master Based Dep.)?Profit/Loss On Sale Of Asset		
128	Accounts	Credit Days							Report ? Accounts?Credit Days		
129	Accounts	Employee Expenses							Report ? Accounts?Employee Expenses		
130	Accounts	Travel Claim Report							Report ? Accounts?Travel Claim Report		
131	Accounts	Expense Booking Report							Report ? Accounts?Expense Booking Report		
132	Accounts	GST Inward Register							Report ? Accounts?GST Inward Register		
133	Accounts	GST Reversal of advance reciept							Report ? Accounts?GST Reversal of advance reciept		
134	Inventory	Status/Ledger Report	Inventory Status (Period)	Accepted Quantity					Report ?Inventory?Status/Ledger Report?Inventory Status (Period)?Accepted Quantity		
135	Inventory	Status/Ledger Report	Inventory Status (Period)	Rejected Quantity					Report ?Inventory?Status/Ledger Report?Inventory Status (Period)?Rejected Quantity		
136	Inventory	Status/Ledger Report	Inventory Status (Period)	Transit Quantity					Report ?Inventory?Status/Ledger Report?Inventory Status (Period)?Transit Quantity		
137	Inventory	Status/Ledger Report	Inventory Status (Period)	Accepted Quantity(Optimized Beta version)					Report ?Inventory?Status/Ledger Report?Inventory Status (Period)?Accepted Quantity(Optimized Beta version)		
138	Inventory	Status/Ledger Report	Sub-Contractor Item Ledger						Report ?Inventory?Status/Ledger Report?Sub-Contractor Item Ledger		
139	Inventory	Status/Ledger Report	Item-Lot Ledger						Report ?Inventory?Status/Ledger Report?Item-Lot Le		
140	Inventory	Status/Ledger Report	Inventory Statement For Bank	Detail					Report ?Inventory?Status/Ledger Report?Inventory Statement For Bank?Detail		
141	Inventory	Status/Ledger Report	Inventory Statement For Bank	Summary					Report ?Inventory?Status/Ledger Report?Inventory Statement For Bank?Summary		
142	Inventory	Status/Ledger Report	Inventory Statement For Bank	Ite group wise statement for bank(QTY)					Report ?Inventory?Status/Ledger Report?Inventory Statement For Bank?Ite group wise statement for bank(QTY)		
143	Inventory	Status/Ledger Report	Non- Inventory Upto-Dt Status						Report ?Inventory?Status/Ledger Report?Non- Inventory Upto-Dt Status		
144	Inventory	Status/Ledger Report	Bin	Bin Ledger					Report ?Inventory?Status/Ledger Report?Bin?Bin Ledger		
145	Inventory	Status/Ledger Report	Bin	Pending For bining					Report ?Inventory?Status/Ledger Report?Bin?Pending For bining		
146	Inventory	Status/Ledger Report	Bin	Lot wise Bin Ledger					Report ?Inventory?Status/Ledger Report?Bin?Lot wise Bin Ledger		
147	Inventory	Status/Ledger Report	Lot BreakUp Code Ledger						Report ?Inventory?Status/Ledger Report?Lot BreakUp Code Ledger		
148	Inventory	Status/Ledger Report	Access Type Ledger						Report ?Inventory?Status/Ledger Report?Access Type Ledger		
149	Inventory	Status/Ledger Report	Batch Tracking Report						Report ?Inventory?Status/Ledger Report?Batch Tracking Report		
150	Inventory	Status/Ledger Report	Receipt Issue Summary						Report ?Inventory?Status/Ledger Report?Receipt Issue Summary		
151	Inventory	Status/Ledger Report	Item Partial Close						Report ?Inventory?Status/Ledger Report?Item Partial Close		
